sensor_id,sensor_type,status,battery_status,signal_status,last_calibration_date,calibration_due_date,calibration_status,accuracy_rating,technician
SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),WARNING,100,GOOD,2026-02-25,2026-05-26,EXPIRED,99.7,Dr. Sarah Chen (CQA)
SNS-1002,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,73,FAIR,2026-07-06,2026-10-04,VALID,98.88,Aisha Patel (Calibration Eng)
SNS-1003,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,99,FAIR,2026-07-08,2026-10-06,VALID,99.18,Aisha Patel (Calibration Eng)
SNS-1004,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,92,GOOD,2026-08-10,2026-11-08,VALID,99.58,Elena Rostova (ISO Auditor)
SNS-1005,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,91,GOOD,2026-08-13,2026-11-11,VALID,99.38,Aisha Patel (Calibration Eng)
SNS-1006,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,68,EXCELLENT,2026-07-13,2026-10-11,VALID,99.52,Elena Rostova (ISO Auditor)
SNS-1007,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,91,EXCELLENT,2026-07-14,2026-10-12,VALID,98.6,Dr. Sarah Chen (CQA)
SNS-1008,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,76,FAIR,2026-08-07,2026-11-05,VALID,99.16,Marcus Vance (Lead Tech)
SNS-1009,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,68,EXCELLENT,2026-07-10,2026-10-08,VALID,99.11,Marcus Vance (Lead Tech)
SNS-1010,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,90,GOOD,2026-07-30,2026-10-28,VALID,99.39,Marcus Vance (Lead Tech)
SNS-1011,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,67,EXCELLENT,2026-07-25,2026-10-23,VALID,99.01,Aisha Patel (Calibration Eng)
SNS-1012,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,90,FAIR,2026-07-14,2026-10-12,VALID,98.51,Marcus Vance (Lead Tech)
SNS-1013,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,88,EXCELLENT,2026-07-02,2026-09-30,VALID,98.7,Elena Rostova (ISO Auditor)
SNS-1014,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,87,EXCELLENT,2026-07-30,2026-10-28,VALID,99.7,Dr. Sarah Chen (CQA)
