log_id,log_timestamp,sensor_id,sensor_type,sensor_battery_pct,sensor_signal,calibration_status,sensor_accuracy,batch_id,product_type,quantity_kg,batch_origin,batch_destination,required_temp_min,required_temp_max,shipment_id,vehicle_id,driver_id,port_airport,shipment_status,recorded_temp,recorded_humidity,gps_location,is_missing,is_noisy,is_imputed,original_temp,imputed_temp,anomaly_score,sensor_status,batch_compliance,shipment_risk_score
161713,2026-08-22 14:48 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),86,FAIR,VALID,99.72,BTC-SEA-5001,Pacific Cod (Frozen Fillets),3223.0,Portland Marine Terminal (OR),Frankfurt Airport Cold Logistics (FRA - Germany),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-103,Vancouver Freight Gate B,IN_TRANSIT,-19.79,89.2,"GPS: 47.6000 N, -122.3000 W",0,0,0,-19.79,-19.79,0.49,NORMAL,WARNING,0.7
161714,2026-08-22 15:03 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),86,FAIR,VALID,99.72,BTC-SEA-5001,Pacific Cod (Frozen Fillets),3223.0,Portland Marine Terminal (OR),Frankfurt Airport Cold Logistics (FRA - Germany),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-103,Vancouver Freight Gate B,IN_TRANSIT,9.82,87.0,"GPS: 47.6100 N, -122.3100 W",0,0,0,9.82,9.82,0.48,WARNING,WARNING,0.7
161715,2026-08-22 15:18 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),86,FAIR,VALID,99.72,BTC-SEA-5001,Pacific Cod (Frozen Fillets),3223.0,Portland Marine Terminal (OR),Frankfurt Airport Cold Logistics (FRA - Germany),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-103,Vancouver Freight Gate B,IN_TRANSIT,-19.76,89.0,"GPS: 47.6200 N, -122.3200 W",0,0,0,-19.76,-19.76,0.42,NORMAL,WARNING,0.7
161716,2026-08-22 15:33 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),86,FAIR,VALID,99.72,BTC-SEA-5001,Pacific Cod (Frozen Fillets),3223.0,Portland Marine Terminal (OR),Frankfurt Airport Cold Logistics (FRA - Germany),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-103,Vancouver Freight Gate B,IN_TRANSIT,-21.77,89.7,"GPS: 47.6300 N, -122.3300 W",0,0,0,-21.77,-21.77,0.44,NORMAL,WARNING,0.7
161717,2026-08-22 15:48 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),86,FAIR,VALID,99.72,BTC-SEA-5001,Pacific Cod (Frozen Fillets),3223.0,Portland Marine Terminal (OR),Frankfurt Airport Cold Logistics (FRA - Germany),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-103,Vancouver Freight Gate B,IN_TRANSIT,-19.33,93.5,"GPS: 47.6400 N, -122.3400 W",0,0,0,-19.33,-19.33,0.43,NORMAL,WARNING,0.7
161718,2026-08-22 16:03 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),86,FAIR,VALID,99.72,BTC-SEA-5001,Pacific Cod (Frozen Fillets),3223.0,Portland Marine Terminal (OR),Frankfurt Airport Cold Logistics (FRA - Germany),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-103,Vancouver Freight Gate B,IN_TRANSIT,1.82,93.7,"GPS: 47.6500 N, -122.3500 W",0,0,0,1.82,1.82,0.42,WARNING,WARNING,0.7
161719,2026-08-22 16:18 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),86,FAIR,VALID,99.72,BTC-SEA-5001,Pacific Cod (Frozen Fillets),3223.0,Portland Marine Terminal (OR),Frankfurt Airport Cold Logistics (FRA - Germany),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-103,Vancouver Freight Gate B,IN_TRANSIT,-21.28,96.0,"GPS: 47.6600 N, -122.3600 W",0,0,0,-21.28,-21.28,0.43,NORMAL,WARNING,0.7
161720,2026-08-22 16:33 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),86,FAIR,VALID,99.72,BTC-SEA-5001,Pacific Cod (Frozen Fillets),3223.0,Portland Marine Terminal (OR),Frankfurt Airport Cold Logistics (FRA - Germany),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-103,Vancouver Freight Gate B,IN_TRANSIT,-19.11,86.9,"GPS: 47.6700 N, -122.3700 W",0,0,0,-19.11,-19.11,0.44,NORMAL,WARNING,0.7
161721,2026-08-22 16:48 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),86,FAIR,VALID,99.72,BTC-SEA-5001,Pacific Cod (Frozen Fillets),3223.0,Portland Marine Terminal (OR),Frankfurt Airport Cold Logistics (FRA - Germany),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-103,Vancouver Freight Gate B,IN_TRANSIT,-20.47,91.1,"GPS: 47.6800 N, -122.3800 W",0,0,0,-20.47,-20.47,0.42,NORMAL,WARNING,0.7
161722,2026-08-22 17:03 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),86,FAIR,VALID,99.72,BTC-SEA-5001,Pacific Cod (Frozen Fillets),3223.0,Portland Marine Terminal (OR),Frankfurt Airport Cold Logistics (FRA - Germany),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-103,Vancouver Freight Gate B,IN_TRANSIT,-21.56,85.3,"GPS: 47.6900 N, -122.3900 W",0,0,0,-21.56,-21.56,0.43,NORMAL,WARNING,0.7
