feedback_id,role,usability_rating,report_clarity,alert_usefulness,evidence_pack_usefulness,ease_of_navigation,comments,submitted_at,is_demo
1,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
2,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
3,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
4,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
5,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
6,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
7,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
8,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
9,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
10,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
11,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
12,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
13,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
14,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
15,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
16,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
17,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
18,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
19,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
