log_id,sensor_id,batch_id,shipment_id,timestamp,temperature,humidity,location,battery_status,signal_status,sensor_status,is_missing,is_noisy,is_imputed,original_temp,imputed_temp,anomaly_score
242634,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 09:24 UTC,-21.19,95.1,"GPS: 47.6000 N, -122.3000 W",100,FAIR,NORMAL,0,0,0,-21.19,-21.19,0.05
242635,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 09:39 UTC,-20.39,85.5,"GPS: 47.6100 N, -122.3100 W",100,FAIR,NORMAL,0,0,0,-20.39,-20.39,0.05
242636,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 09:54 UTC,-37.73,86.1,"GPS: 47.6200 N, -122.3200 W",100,FAIR,WARNING,0,1,0,-37.73,-37.73,0.45
242637,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 10:09 UTC,-18.63,93.0,"GPS: 47.6300 N, -122.3300 W",100,GOOD,NORMAL,0,0,0,-18.63,-18.63,0.05
242638,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 10:24 UTC,-18.89,93.9,"GPS: 47.6400 N, -122.3400 W",100,FAIR,NORMAL,0,0,0,-18.89,-18.89,0.05
242639,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 10:39 UTC,-21.61,86.8,"GPS: 47.6500 N, -122.3500 W",100,EXCELLENT,NORMAL,0,0,0,-21.61,-21.61,0.05
242640,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 10:54 UTC,-20.87,92.5,"GPS: 47.6600 N, -122.3600 W",100,FAIR,NORMAL,0,0,0,-20.87,-20.87,0.05
242641,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 11:09 UTC,-19.71,87.9,"GPS: 47.6700 N, -122.3700 W",100,GOOD,NORMAL,0,0,0,-19.71,-19.71,0.05
242642,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 11:24 UTC,-20.25,86.2,"GPS: 47.6800 N, -122.3800 W",100,GOOD,NORMAL,0,0,0,-20.25,-20.25,0.05
242643,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 11:39 UTC,-18.8,86.3,"GPS: 47.6900 N, -122.3900 W",100,GOOD,NORMAL,0,0,0,-18.8,-18.8,0.05
242644,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 11:54 UTC,-19.37,88.6,"GPS: 47.7000 N, -122.4000 W",99,FAIR,NORMAL,0,0,0,-19.37,-19.37,0.05
242645,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 12:09 UTC,-18.26,93.8,"GPS: 47.7100 N, -122.4100 W",99,GOOD,NORMAL,0,0,0,-18.26,-18.26,0.05
242646,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 12:24 UTC,-18.74,87.6,"GPS: 47.7200 N, -122.4200 W",99,EXCELLENT,NORMAL,0,0,0,-18.74,-18.74,0.05
242647,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 12:39 UTC,-20.13,94.6,"GPS: 47.7300 N, -122.4300 W",99,FAIR,NORMAL,0,0,0,-20.13,-20.13,0.05
242648,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 12:54 UTC,-20.92,89.8,"GPS: 47.7400 N, -122.4400 W",99,EXCELLENT,NORMAL,0,0,0,-20.92,-20.92,0.05
242649,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 13:09 UTC,-20.3,87.7,"GPS: 47.7500 N, -122.4500 W",99,FAIR,NORMAL,0,0,0,-20.3,-20.3,0.05
242650,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 13:24 UTC,-20.46,92.5,"GPS: 47.7600 N, -122.4600 W",99,FAIR,NORMAL,0,0,0,-20.46,-20.46,0.05
242651,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 13:39 UTC,-19.99,91.8,"GPS: 47.7700 N, -122.4700 W",99,FAIR,NORMAL,0,0,0,-19.99,-19.99,0.05
242652,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 13:54 UTC,-4.45,95.3,"GPS: 47.7800 N, -122.4800 W",99,FAIR,WARNING,0,1,0,-4.45,-4.45,0.45
242653,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 14:09 UTC,-20.13,90.6,"GPS: 47.7900 N, -122.4900 W",99,GOOD,NORMAL,0,0,0,-20.13,-20.13,0.05
242654,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 14:24 UTC,-19.72,89.8,"GPS: 47.8000 N, -122.5000 W",98,FAIR,NORMAL,0,0,0,-19.72,-19.72,0.05
242655,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 14:39 UTC,-19.64,92.4,"GPS: 47.8100 N, -122.5100 W",98,FAIR,NORMAL,0,0,0,-19.64,-19.64,0.05
242656,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 14:54 UTC,-19.28,88.6,"GPS: 47.8200 N, -122.5200 W",98,FAIR,NORMAL,0,0,0,-19.28,-19.28,0.05
242657,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 15:09 UTC,-21.16,94.3,"GPS: 47.8300 N, -122.5300 W",98,GOOD,NORMAL,0,0,0,-21.16,-21.16,0.05
242658,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 15:24 UTC,-20.15,85.5,"GPS: 47.8400 N, -122.5400 W",98,GOOD,NORMAL,0,0,0,-20.15,-20.15,0.05
242659,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 15:39 UTC,10.09,86.6,"GPS: 47.8500 N, -122.5500 W",98,FAIR,WARNING,0,1,0,10.09,10.09,0.45
242660,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 15:54 UTC,-19.86,89.2,"GPS: 47.8600 N, -122.5600 W",98,GOOD,NORMAL,0,0,0,-19.86,-19.86,0.05
242661,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 16:09 UTC,-21.15,85.8,"GPS: 47.8700 N, -122.5700 W",98,GOOD,NORMAL,0,0,0,-21.15,-21.15,0.05
242662,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 16:24 UTC,-38.06,87.8,"GPS: 47.8800 N, -122.5800 W",98,EXCELLENT,WARNING,0,1,0,-38.06,-38.06,0.45
242663,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 16:39 UTC,-21.12,95.3,"GPS: 47.8900 N, -122.5900 W",98,FAIR,NORMAL,0,0,0,-21.12,-21.12,0.05
242664,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 16:54 UTC,-21.05,87.2,"GPS: 47.9000 N, -122.6000 W",97,GOOD,NORMAL,0,0,0,-21.05,-21.05,0.05
242665,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 17:09 UTC,-20.32,94.5,"GPS: 47.9100 N, -122.6100 W",97,EXCELLENT,NORMAL,0,0,0,-20.32,-20.32,0.05
242666,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 17:24 UTC,-21.57,90.3,"GPS: 47.9200 N, -122.6200 W",97,EXCELLENT,NORMAL,0,0,0,-21.57,-21.57,0.05
242667,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 17:39 UTC,-20.28,85.2,"GPS: 47.9300 N, -122.6300 W",97,FAIR,NORMAL,0,0,0,-20.28,-20.28,0.05
242668,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 17:54 UTC,-20.1,89.0,"GPS: 47.9400 N, -122.6400 W",97,GOOD,NORMAL,0,0,0,-20.1,-20.1,0.05
242669,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 18:09 UTC,-19.34,85.6,"GPS: 47.9500 N, -122.6500 W",97,EXCELLENT,NORMAL,0,0,0,-19.34,-19.34,0.05
242670,SNS-1001,BTC-SEA-5001,SHP-2026-101,2026-08-28 18:24 UTC,-20.84,88.5,"GPS: 47.9600 N, -122.6600 W",97,FAIR,NORMAL,0,0,0,-20.84,-20.84,0.05
