route_id,shipment_id,event_type,timestamp,location,delay_minutes,route_status,notes
RTE-001-1,SHP-2026-101,Batch Creation,2026-08-28 09:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-001-2,SHP-2026-101,Cold Storage Exit & Loading,2026-08-28 10:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-001-3,SHP-2026-101,Transit Checkpoint Alpha,2026-08-28 14:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-001-4,SHP-2026-101,Port / Airport Logistics Ramp,2026-08-28 21:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-001-5,SHP-2026-101,Export Inspection Dock,2026-08-29 03:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-001-6,SHP-2026-101,Final Aircraft / Vessel Loading,2026-08-29 07:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-002-1,SHP-2026-102,Batch Creation,2026-08-28 11:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-002-2,SHP-2026-102,Cold Storage Exit & Loading,2026-08-28 12:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-002-3,SHP-2026-102,Transit Checkpoint Alpha,2026-08-28 16:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-002-4,SHP-2026-102,Port / Airport Logistics Ramp,2026-08-28 23:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-002-5,SHP-2026-102,Export Inspection Dock,2026-08-29 05:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-002-6,SHP-2026-102,Final Aircraft / Vessel Loading,2026-08-29 09:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-003-1,SHP-2026-103,Batch Creation,2026-08-28 13:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-003-2,SHP-2026-103,Cold Storage Exit & Loading,2026-08-28 14:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-003-3,SHP-2026-103,Transit Checkpoint Alpha,2026-08-28 18:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-003-4,SHP-2026-103,Port / Airport Logistics Ramp,2026-08-29 01:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-003-5,SHP-2026-103,Export Inspection Dock,2026-08-29 07:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-003-6,SHP-2026-103,Final Aircraft / Vessel Loading,2026-08-29 11:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-004-1,SHP-2026-104,Batch Creation,2026-08-28 15:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-004-2,SHP-2026-104,Cold Storage Exit & Loading,2026-08-28 16:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-004-3,SHP-2026-104,Transit Checkpoint Alpha,2026-08-28 20:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-004-4,SHP-2026-104,Port / Airport Logistics Ramp,2026-08-29 03:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-004-5,SHP-2026-104,Export Inspection Dock,2026-08-29 09:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-004-6,SHP-2026-104,Final Aircraft / Vessel Loading,2026-08-29 13:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-005-1,SHP-2026-105,Batch Creation,2026-08-28 17:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-005-2,SHP-2026-105,Cold Storage Exit & Loading,2026-08-28 18:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-005-3,SHP-2026-105,Transit Checkpoint Alpha,2026-08-28 22:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-005-4,SHP-2026-105,Port / Airport Logistics Ramp,2026-08-29 05:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-005-5,SHP-2026-105,Export Inspection Dock,2026-08-29 11:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-005-6,SHP-2026-105,Final Aircraft / Vessel Loading,2026-08-29 15:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-006-1,SHP-2026-106,Batch Creation,2026-08-28 19:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-006-2,SHP-2026-106,Cold Storage Exit & Loading,2026-08-28 20:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-006-3,SHP-2026-106,Transit Checkpoint Alpha,2026-08-29 00:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-006-4,SHP-2026-106,Port / Airport Logistics Ramp,2026-08-29 07:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-006-5,SHP-2026-106,Export Inspection Dock,2026-08-29 13:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-006-6,SHP-2026-106,Final Aircraft / Vessel Loading,2026-08-29 17:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-007-1,SHP-2026-107,Batch Creation,2026-08-28 21:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-007-2,SHP-2026-107,Cold Storage Exit & Loading,2026-08-28 22:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-007-3,SHP-2026-107,Transit Checkpoint Alpha,2026-08-29 02:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-007-4,SHP-2026-107,Port / Airport Logistics Ramp,2026-08-29 09:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-007-5,SHP-2026-107,Export Inspection Dock,2026-08-29 15:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-007-6,SHP-2026-107,Final Aircraft / Vessel Loading,2026-08-29 19:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-008-1,SHP-2026-108,Batch Creation,2026-08-28 23:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-008-2,SHP-2026-108,Cold Storage Exit & Loading,2026-08-29 00:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
