buffer_id,payload_type,payload_data,created_at,synced,payload_hash,sync_status,retry_count,error_message
11,OFFLINE_SENSOR_TELEMETRY,"{""sensor_id"": ""SNS-101"", ""temp"": -19.2, ""status"": ""BUFFERED""}",2026-09-08 05:08:30 UTC,1,eaf0fd13f73b7f16e22ec021ba0df359305b28efb043fd18a0f66647e13b03f5,SYNCED,0,
16,SENSOR_LOG,"{""sensor_id"": ""SNS-STRESS-1000"", ""batch_id"": ""BTC-SEA-5001"", ""shipment_id"": ""SHP-2026-101"", ""timestamp"": ""2026-09-08 05:16:28 UTC"", ""temperature"": -21.49, ""humidity"": 86.6, ""location"": ""GPS: 47.6000 N, -122.3000 W"", ""battery_status"": 91}",2026-09-08 05:20:28 UTC,1,88eef535e83673b7fdc7c3d1302093069411ee059e3e54d68d42938b6ba1681b,SYNCED,1,
17,SENSOR_LOG,"{""sensor_id"": ""SNS-STRESS-1000"", ""batch_id"": ""BTC-SEA-5001"", ""shipment_id"": ""SHP-2026-101"", ""timestamp"": ""2026-09-08 05:15:28 UTC"", ""temperature"": -19.67, ""humidity"": 85.2, ""location"": ""GPS: 47.6000 N, -122.3010 W"", ""battery_status"": 88}",2026-09-08 05:20:28 UTC,1,e2b0f0c2b9760b1d1798eade715007501586e4515df219268509e0aa047abfcf,SYNCED,1,
18,SENSOR_LOG,"{""sensor_id"": ""SNS-STRESS-1001"", ""batch_id"": ""BTC-SEA-5002"", ""shipment_id"": ""SHP-2026-102"", ""timestamp"": ""2026-09-08 05:18:28 UTC"", ""temperature"": -18.56, ""humidity"": 89.4, ""location"": ""GPS: 47.6010 N, -122.3000 W"", ""battery_status"": 88}",2026-09-08 05:20:29 UTC,1,0dbbcb79e056705b0a114cd3955f2f0409678bef292977b443d3d487c3d453dc,SYNCED,1,
19,SENSOR_LOG,"{""sensor_id"": ""SNS-STRESS-1001"", ""batch_id"": ""BTC-SEA-5002"", ""shipment_id"": ""SHP-2026-102"", ""timestamp"": ""2026-09-08 05:17:28 UTC"", ""temperature"": -19.03, ""humidity"": 85.8, ""location"": ""GPS: 47.6010 N, -122.3010 W"", ""battery_status"": 82}",2026-09-08 05:20:29 UTC,1,ea5b34905cc8a9dc669c9f09d7ee53be3b80785719a7f3e57b0ad6eace10a86f,SYNCED,1,
20,OFFLINE_SENSOR_TELEMETRY,"{""sensor_id"": ""SNS-101"", ""temp"": -19.2, ""status"": ""BUFFERED""}",2026-09-08 05:39:43 UTC,1,eaf0fd13f73b7f16e22ec021ba0df359305b28efb043fd18a0f66647e13b03f5,SYNCED,0,
21,OFFLINE_SENSOR_TELEMETRY,"{""sensor_id"": ""SNS-101"", ""temp"": -19.2, ""status"": ""BUFFERED""}",2026-09-15 06:25:09 UTC,1,eaf0fd13f73b7f16e22ec021ba0df359305b28efb043fd18a0f66647e13b03f5,SYNCED,0,
22,SENSOR_LOG,"{""sensor_id"": ""SNS-MH-1000"", ""batch_id"": ""BTC-SEA-5001"", ""shipment_id"": ""SHP-2026-101"", ""timestamp"": ""2026-09-15 02:34:34 UTC"", ""temperature"": -19.2, ""humidity"": 89.6, ""location"": ""GPS: 45.0000 N, -120.0000 W"", ""battery_status"": 95}",2026-09-15 06:34:34 UTC,1,db5662d5acedc5607d918b3d2a8d82b7e20f1fc72d517465b3a7c2e286c00b79,SYNCED,0,
23,SENSOR_LOG,"{""sensor_id"": ""SNS-MH-1000"", ""batch_id"": ""BTC-SEA-5001"", ""shipment_id"": ""SHP-2026-101"", ""timestamp"": ""2026-09-15 02:49:34 UTC"", ""temperature"": -19.89, ""humidity"": 90.3, ""location"": ""GPS: 45.0000 N, -120.0100 W"", ""battery_status"": 95}",2026-09-15 06:34:34 UTC,1,6b7554c77fc5e541842484c6c4ecf7f23c4bd29192e1216f2da48b17730a678c,SYNCED,0,
24,SENSOR_LOG,"{""sensor_id"": ""SNS-MH-1000"", ""batch_id"": ""BTC-SEA-5001"", ""shipment_id"": ""SHP-2026-101"", ""timestamp"": ""2026-09-15 03:04:34 UTC"", ""temperature"": -21.46, ""humidity"": 87.5, ""location"": ""GPS: 45.0000 N, -120.0200 W"", ""battery_status"": 95}",2026-09-15 06:34:34 UTC,1,c763492c0c959a6fdd979f19e46b9ef16a374f49c545390d8da34bd9d936483f,SYNCED,0,
