log_id,log_timestamp,sensor_id,sensor_type,sensor_battery_pct,sensor_signal,calibration_status,sensor_accuracy,batch_id,product_type,quantity_kg,batch_origin,batch_destination,required_temp_min,required_temp_max,shipment_id,vehicle_id,driver_id,port_airport,shipment_status,recorded_temp,recorded_humidity,gps_location,is_missing,is_noisy,is_imputed,original_temp,imputed_temp,anomaly_score,sensor_status,batch_compliance,shipment_risk_score
242634,2026-08-28 09:24 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),100,GOOD,EXPIRED,99.7,BTC-SEA-5001,Pacific Cod (Frozen Fillets),1783.6,Vancouver Pacific Processing Hub (BC),Tokyo Haneda Cargo Center (HND - Japan),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-107,Vancouver Freight Gate B,IN_TRANSIT,-21.19,95.1,"GPS: 47.6000 N, -122.3000 W",0,0,0,-21.19,-21.19,0.05,NORMAL,CRITICAL,0.97
242635,2026-08-28 09:39 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),100,GOOD,EXPIRED,99.7,BTC-SEA-5001,Pacific Cod (Frozen Fillets),1783.6,Vancouver Pacific Processing Hub (BC),Tokyo Haneda Cargo Center (HND - Japan),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-107,Vancouver Freight Gate B,IN_TRANSIT,-20.39,85.5,"GPS: 47.6100 N, -122.3100 W",0,0,0,-20.39,-20.39,0.05,NORMAL,CRITICAL,0.97
242636,2026-08-28 09:54 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),100,GOOD,EXPIRED,99.7,BTC-SEA-5001,Pacific Cod (Frozen Fillets),1783.6,Vancouver Pacific Processing Hub (BC),Tokyo Haneda Cargo Center (HND - Japan),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-107,Vancouver Freight Gate B,IN_TRANSIT,-37.73,86.1,"GPS: 47.6200 N, -122.3200 W",0,1,0,-37.73,-37.73,0.45,WARNING,CRITICAL,0.97
242637,2026-08-28 10:09 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),100,GOOD,EXPIRED,99.7,BTC-SEA-5001,Pacific Cod (Frozen Fillets),1783.6,Vancouver Pacific Processing Hub (BC),Tokyo Haneda Cargo Center (HND - Japan),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-107,Vancouver Freight Gate B,IN_TRANSIT,-18.63,93.0,"GPS: 47.6300 N, -122.3300 W",0,0,0,-18.63,-18.63,0.05,NORMAL,CRITICAL,0.97
242638,2026-08-28 10:24 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),100,GOOD,EXPIRED,99.7,BTC-SEA-5001,Pacific Cod (Frozen Fillets),1783.6,Vancouver Pacific Processing Hub (BC),Tokyo Haneda Cargo Center (HND - Japan),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-107,Vancouver Freight Gate B,IN_TRANSIT,-18.89,93.9,"GPS: 47.6400 N, -122.3400 W",0,0,0,-18.89,-18.89,0.05,NORMAL,CRITICAL,0.97
242639,2026-08-28 10:39 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),100,GOOD,EXPIRED,99.7,BTC-SEA-5001,Pacific Cod (Frozen Fillets),1783.6,Vancouver Pacific Processing Hub (BC),Tokyo Haneda Cargo Center (HND - Japan),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-107,Vancouver Freight Gate B,IN_TRANSIT,-21.61,86.8,"GPS: 47.6500 N, -122.3500 W",0,0,0,-21.61,-21.61,0.05,NORMAL,CRITICAL,0.97
242640,2026-08-28 10:54 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),100,GOOD,EXPIRED,99.7,BTC-SEA-5001,Pacific Cod (Frozen Fillets),1783.6,Vancouver Pacific Processing Hub (BC),Tokyo Haneda Cargo Center (HND - Japan),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-107,Vancouver Freight Gate B,IN_TRANSIT,-20.87,92.5,"GPS: 47.6600 N, -122.3600 W",0,0,0,-20.87,-20.87,0.05,NORMAL,CRITICAL,0.97
242641,2026-08-28 11:09 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),100,GOOD,EXPIRED,99.7,BTC-SEA-5001,Pacific Cod (Frozen Fillets),1783.6,Vancouver Pacific Processing Hub (BC),Tokyo Haneda Cargo Center (HND - Japan),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-107,Vancouver Freight Gate B,IN_TRANSIT,-19.71,87.9,"GPS: 47.6700 N, -122.3700 W",0,0,0,-19.71,-19.71,0.05,NORMAL,CRITICAL,0.97
242642,2026-08-28 11:24 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),100,GOOD,EXPIRED,99.7,BTC-SEA-5001,Pacific Cod (Frozen Fillets),1783.6,Vancouver Pacific Processing Hub (BC),Tokyo Haneda Cargo Center (HND - Japan),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-107,Vancouver Freight Gate B,IN_TRANSIT,-20.25,86.2,"GPS: 47.6800 N, -122.3800 W",0,0,0,-20.25,-20.25,0.05,NORMAL,CRITICAL,0.97
242643,2026-08-28 11:39 UTC,SNS-1001,IoT Multi-Sensor (Temp/Humidity/GPS),100,GOOD,EXPIRED,99.7,BTC-SEA-5001,Pacific Cod (Frozen Fillets),1783.6,Vancouver Pacific Processing Hub (BC),Tokyo Haneda Cargo Center (HND - Japan),-22.0,-18.0,SHP-2026-101,TRK-201,DRV-107,Vancouver Freight Gate B,IN_TRANSIT,-18.8,86.3,"GPS: 47.6900 N, -122.3900 W",0,0,0,-18.8,-18.8,0.05,NORMAL,CRITICAL,0.97
